drawing_number,drawing_id,bookmaker,status,started_at,ended_at,year,event_count,unique_event_orders,missing_event_orders,duplicate_event_orders,blank_event_names,quote_rows,unique_quote_orders,pool_complete_events,bk_complete_events,norm_complete_events,pin_complete_events,resolved_results,void_results,missing_results,invalid_results,scores_present,result_snapshot_rows,complete_result_snapshots,snapshot_status_resolved,snapshot_status_void,snapshot_status_missing,raw_snapshot_records,raw_unique_payloads,raw_sources,raw_best_event_count,raw_best_nonblank_names,raw_best_pool_complete,raw_best_bk_complete,raw_best_norm_complete,raw_best_resolved_results,preparation_rows,latest_preparation_status,latest_preparation_mapped,pin_rows,valid_pin_rows,package_rows,package_coupons,package_cost,settlement_rows,health_status,hard_anomaly_count,warning_count
2759,202,baltbet-main,finished,,2020-07-06T16:00:00.000000Z,2020,15,15,,,0,15,15,15,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,0,0,0,0,0,0,FAIL,1,2
2760,203,baltbet-main,finished,,2020-07-07T15:30:00.000000Z,2020,15,15,,,0,15,15,15,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,0,0,0,0,0,0,FAIL,1,2
2761,204,baltbet-main,finished,,2020-07-08T17:00:00.000000Z,2020,15,15,,,0,15,15,15,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,0,0,0,0,0,0,FAIL,1,2
2762,205,baltbet-main,finished,,2020-07-09T15:30:00.000000Z,2020,15,15,,,0,15,15,15,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,0,0,0,0,0,0,FAIL,1,2
2763,206,baltbet-main,finished,,2020-07-10T15:30:00.000000Z,2020,15,15,,,0,15,15,15,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,0,0,0,0,0,0,FAIL,1,2
2764,207,baltbet-main,finished,,2020-07-11T14:00:00.000000Z,2020,15,15,,,0,15,15,15,15,0,0,15,0,0,0,15,0,0,0,0,0,0,0,,,,,,,,0,,0,0,0,0,0,0,0,WARN,0,2
2765,208,baltbet-main,finished,,2020-07-12T12:30:00.000000Z,2020,15,15,,,0,15,15,15,15,0,0,15,0,0,0,15,0,0,0,0,0,0,0,,,,,,,,0,,0,0,0,0,0,0,0,WARN,0,2
2766,209,baltbet-main,finished,,2020-07-13T16:45:00.000000Z,2020,15,15,,,0,15,15,15,15,0,0,15,0,0,0,15,0,0,0,0,0,0,0,,,,,,,,0,,0,0,0,0,0,0,0,WARN,0,2
2767,210,baltbet-main,finished,,2020-07-14T15:00:00.000000Z,2020,15,15,,,0,15,15,15,15,0,0,15,0,0,0,15,0,0,0,0,0,0,0,,,,,,,,0,,0,0,0,0,0,0,0,WARN,0,2
2768,211,baltbet-main,finished,,2020-07-15T16:00:00.000000Z,2020,15,15,,,0,15,15,15,15,0,0,15,0,0,0,15,0,0,0,0,0,0,0,,,,,,,,0,,0,0,0,0,0,0,0,WARN,0,2
2769,212,baltbet-main,finished,,2020-07-16T14:00:00.000000Z,2020,15,15,,,0,15,15,15,15,0,0,14,0,1,0,15,0,0,0,0,0,0,0,,,,,,,,0,,0,0,0,0,0,0,0,FAIL,1,2
2770,213,baltbet-main,finished,,2020-07-17T15:30:00.000000Z,2020,15,15,,,0,15,15,15,15,0,0,15,0,0,0,15,0,0,0,0,0,0,0,,,,,,,,0,,0,0,0,0,0,0,0,WARN,0,2
2771,214,baltbet-main,finished,,2020-07-18T14:00:00.000000Z,2020,15,15,,,0,15,15,15,15,0,0,15,0,0,0,15,0,0,0,0,0,0,0,,,,,,,,0,,0,0,0,0,0,0,0,WARN,0,2
2772,215,baltbet-main,finished,,2020-07-19T15:00:00.000000Z,2020,15,15,,,0,15,15,15,15,0,0,15,0,0,0,15,0,0,0,0,0,0,0,,,,,,,,0,,0,0,0,0,0,0,0,WARN,0,2
2773,216,baltbet-main,finished,,2020-07-20T13:00:00.000000Z,2020,15,15,,,0,15,15,15,15,0,0,14,0,1,0,15,0,0,0,0,0,0,0,,,,,,,,0,,0,0,0,0,0,0,0,FAIL,1,2
2774,217,baltbet-main,finished,,2020-07-22T15:30:00.000000Z,2020,15,15,,,0,15,15,15,15,0,0,15,0,0,0,15,0,0,0,0,0,0,0,,,,,,,,0,,0,0,0,0,0,0,0,WARN,0,2
2775,218,baltbet-main,finished,,2020-07-23T15:45:00.000000Z,2020,15,15,,,0,15,15,15,15,0,0,15,0,0,0,15,0,0,0,0,0,0,0,,,,,,,,0,,0,0,0,0,0,0,0,WARN,0,2
2776,219,baltbet-main,finished,,2020-07-24T16:15:00.000000Z,2020,15,15,,,0,15,15,15,15,0,0,15,0,0,0,15,0,0,0,0,0,0,0,,,,,,,,0,,0,0,0,0,0,0,0,WARN,0,2
2777,220,baltbet-main,finished,,2020-07-25T12:30:00.000000Z,2020,15,15,,,0,15,15,15,15,0,0,14,0,1,0,14,0,0,0,0,0,0,0,,,,,,,,0,,0,0,0,0,0,0,0,FAIL,1,2
2778,221,baltbet-main,finished,,2020-07-26T14:00:00.000000Z,2020,15,15,,,0,15,15,15,15,0,0,15,0,0,0,15,0,0,0,0,0,0,0,,,,,,,,0,,0,0,0,0,0,0,0,WARN,0,2
2779,222,baltbet-main,finished,,2020-07-27T16:00:00.000000Z,2020,15,15,,,0,15,15,15,15,0,0,15,0,0,0,15,0,0,0,0,0,0,0,,,,,,,,0,,0,0,0,0,0,0,0,WARN,0,2
2780,223,baltbet-main,finished,,2020-07-28T14:00:00.000000Z,2020,15,15,,,0,15,15,15,15,0,0,15,0,0,0,15,0,0,0,0,0,0,0,,,,,,,,0,,0,0,0,0,0,0,0,WARN,0,2
2781,224,baltbet-main,finished,,2020-07-29T14:00:00.000000Z,2020,15,15,,,0,15,15,15,15,0,0,15,0,0,0,15,0,0,0,0,0,0,0,,,,,,,,0,,0,0,0,0,0,0,0,WARN,0,2
