drawing_number,drawing_id,raw_snapshot_records,raw_unique_payloads,raw_sources,events_class,events_reason,names_class,names_reason,pool_class,pool_reason,bk_class,bk_reason,norm_class,norm_reason,results_class,results_reason,raw_final_result_conflict
2759,202,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,C,no local RAW/API snapshot is available,False
2760,203,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,C,no local RAW/API snapshot is available,False
2761,204,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,C,no local RAW/API snapshot is available,False
2762,205,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,C,no local RAW/API snapshot is available,False
2763,206,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,C,no local RAW/API snapshot is available,False
2764,207,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2765,208,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2766,209,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2767,210,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2768,211,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2769,212,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,C,no local RAW/API snapshot is available,False
2770,213,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2771,214,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2772,215,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2773,216,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,C,no local RAW/API snapshot is available,False
2774,217,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2775,218,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2776,219,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2777,220,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,C,no local RAW/API snapshot is available,False
2778,221,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2779,222,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2780,223,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2781,224,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2782,225,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2783,226,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2784,227,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2785,228,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2786,229,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2787,230,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2788,231,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2789,232,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2790,233,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,C,no local RAW/API snapshot is available,False
2791,234,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2792,235,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2793,236,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2794,237,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2795,238,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2796,239,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2797,240,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2798,241,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2799,242,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2800,243,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2801,244,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,C,no local RAW/API snapshot is available,False
2802,245,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2803,246,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,C,no local RAW/API snapshot is available,False
2804,247,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2805,248,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2806,249,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,OK,SQLite field is complete,False
2807,250,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,C,no local RAW/API snapshot is available,False
2808,251,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,C,no local RAW/API snapshot is available,False
2809,252,0,0,,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,OK,SQLite field is complete,C,no local RAW/API snapshot is available,C,no local RAW/API snapshot is available,False
