drawing_number,drawing_id,status,ended_at,source,source_kind,payload_sha256,event_count,unique_orders,nonblank_names,pool_complete,bk_complete,norm_complete,pin_complete,resolved_results,missing_results,scores_present,actual
4850,11695,finished,2026-04-10T16:00:00.000000Z,data/raw/drawing_11695.json,file,55e3951e7143b409f42c63d89d923cdd21edc7c6c8ca1d00d5b90a4867a1ecc3,15,15,15,15,15,11,0,13,2,13,
4938,11935,finished,2026-07-08T15:00:00.000000Z,data/raw/drawing_11935.json,file,dc6c573a727a6bcfd5945310c15fde437daa589c61121c077cacac4d88e78ccd,15,15,15,15,15,14,0,15,0,15,2X2XX2111211X12
4939,11938,expected,2026-07-09T14:00:00.000000Z,data/raw/drawing_11938.json,file,0bd728b3947a4080c0400015b1f90ec8b1153dbf24bc25676651e30f501588fd,15,15,15,15,15,12,0,0,15,1,
4940,11941,active,2026-07-10T15:30:00.000000Z,data/raw/drawing_11941.json,file,e7f3727d9a2d4dc1ee01f04cd5acc7bcc7474f13dcc24c0ec1e921d79ea54a3a,15,15,15,15,15,10,0,0,15,0,
4945,11953,active,2026-07-15T15:00:00.000000Z,data/raw/drawing_11953.json,file,3d66ef7c1eaea63a729871119c92d73ce44d4c1729c010f1cc63b51542e75806,15,15,15,15,15,12,0,0,15,0,
4950,11964,active,2026-07-20T14:30:00.000000Z,data/raw/drawing_11964.json,file,749fdf57170774dc24f56774548396ed795ee4271826a54ad696e84660fbdbb5,15,15,15,15,15,9,0,0,15,0,
4950,11964,active,2026-07-20T14:30:00.000000Z,tests/fixtures/drawing_4950_totobrief.json,file,e1df7d8a1502cd4fe865bfa06289431db71e50d36c3fa70943304de6e12a0449,15,15,15,15,15,0,0,0,15,0,
4951,11968,active,2026-07-21T16:00:00.000000Z,tests/fixtures/drawing_4951_totobrief_target_cache.json,file,d3114362fd21cc200ac80155fa028ae0945af5ee006fdfe52eace4e59352141e,15,15,15,15,15,0,0,0,15,0,
4952,11970,active,2026-07-22T16:00:00.000000Z,data/raw/drawing_11970.json,file,029e20fe5101a823b7d67728c6193b165bed6c65de8c38935220777dd3bc2ea6,15,15,15,15,15,15,0,0,15,0,
4952,11970,active,2026-07-22T16:00:00.000000Z,reports/rehearsal/current-systematic-early-4952/totobrief-drawing-11970.json,file,cdfad5e49bd732636826360b8267e99ef67ce7ed2591804212cbf889186ee37e,15,15,15,15,15,15,0,0,15,0,
4953,11972,active,2026-07-23T15:30:00.000000Z,data/raw/drawing_11972.json,file,1c45a254f10763a087ad2fbd8ccea3624b21ede1256392ae8ecdc027024a993c,15,15,15,15,15,12,0,0,15,0,
4953,11972,finished,2026-07-23T15:30:00.000000Z,sqlite:drawing_result_snapshots:3,result_snapshot_payload,16fe2fc0f83a90cf9779d21a08ca988a520947a3105676b353dd39823224ecc0,15,15,15,15,15,12,0,15,0,15,22X11X11X11X111
4954,11975,finished,2026-07-24T15:30:00.000000Z,data/raw/drawing_11975.json,file,3ca5715770774b9efd8b13cbb28e29d2d83558c4a909de66e161ffdd1b460207,15,15,15,15,15,12,0,14,1,14,
4954,11975,finished,2026-07-24T15:30:00.000000Z,sqlite:drawing_result_snapshots:4,result_snapshot_payload,3ca5715770774b9efd8b13cbb28e29d2d83558c4a909de66e161ffdd1b460207,15,15,15,15,15,12,0,14,1,14,
4955,11977,finished,2026-07-25T15:30:00.000000Z,sqlite:drawing_result_snapshots:1,result_snapshot_payload,cd6a8db9736ec7f48176550c37fd844aa540484cb8788e1c1ecd023a438192d7,15,15,15,15,15,14,0,15,0,15,21112X21XX22X22
4956,11981,finished,2026-07-26T14:30:00.000000Z,sqlite:drawing_result_snapshots:2,result_snapshot_payload,dab147aea4c225a8842d21c7309dc1903298d50f1692aefd4b72a0c270b2c8b6,15,15,15,15,15,10,0,15,0,15,12X12121221XX1X
4957,11983,active,2026-07-27T15:00:00.000000Z,data/raw/drawing_11983.json,file,95af9f05d44b99dc97415e9b11210a5426c7616e15849c2712e1e21de359515f,15,15,15,15,15,11,0,0,15,0,
4957,11983,active,2026-07-27T15:00:00.000000Z,reports/rehearsal/4957-early-rehearsal-20260727T074910Z/frozen-inputs/drawing_11983.json,file,b671ffe41115f9a501e00a88c3a337f814954faa3e705fec51aebd0a0823fc27,15,15,15,15,15,11,0,0,15,0,
4958,11986,active,2026-07-28T14:00:00.000000Z,data/raw/drawing_11986.json,file,e24311a3276a880c79012b30173cb91edfdb8e8ec76ef3ad5662a647b2ca778e,15,15,15,15,15,10,0,0,15,0,
4959,11988,active,2026-07-29T14:00:00.000000Z,data/raw/drawing_11988.json,file,f19531f5dc941825a6d31fd6656c5b0c78b02736ad07e738165d405948399cc2,15,15,15,15,15,10,0,0,15,0,
4959,11988,active,2026-07-29T14:00:00.000000Z,reports/rehearsal/context-4959-20260729/raw/drawing_11988.json,file,0e7cfc4ec56aefdea5c0ee6fa2da2de2f8cfa91af8cff937ce50ad87f2af2a7f,15,15,15,15,15,10,0,0,15,0,
4959,11988,active,2026-07-29T14:00:00.000000Z,reports/rehearsal/reviewed-fallback-live-4959-20260729T115300Z/raw/drawing_11988.json,file,b7bedf99540ceb621ef63493332c3624e460a1f8039f767024b82a2f34073409,15,15,15,15,15,11,0,0,15,0,
4959,11988,active,2026-07-29T14:00:00.000000Z,reports/rehearsal/reviewed-fallback-live-4959-20260729T115500Z/raw/drawing_11988.json,file,b7bedf99540ceb621ef63493332c3624e460a1f8039f767024b82a2f34073409,15,15,15,15,15,11,0,0,15,0,
