drawing_number,position,event_name,actual_outcome,excluded_as_void,bk_actual_probability,bk_actual_rank,bk_top_correct,sports_actual_probability,sports_actual_rank,sports_top_correct,sports_effect,sports_top_prediction_effect,sports_actual_probability_delta,quality_v2_diagnosis,sports_v2_diagnosis,quality-v2_actual_share,quality-v2_actual_exposure_rank,quality-v2_zero_actual_exposure,quality-v2_best_coupon_universal_miss,sports-v2_actual_share,sports-v2_actual_exposure_rank,sports-v2_zero_actual_exposure,sports-v2_best_coupon_universal_miss,quality-v3_actual_share,quality-v3_actual_exposure_rank,quality-v3_zero_actual_exposure,quality-v3_best_coupon_universal_miss,robust_actual_share,robust_actual_exposure_rank,robust_zero_actual_exposure,robust_best_coupon_universal_miss
4995,1,Реал Сосьедад — Сельта,X,False,0.24752475247524752,2,False,0.2506998057898258,2,False,HELPED_ACTUAL_PROBABILITY,RETAINED_TOP_MISS,0.003175053314578291,JOINT_PROBABILITY_AND_PACKAGE_MISS,JOINT_PROBABILITY_AND_PACKAGE_MISS,0.1144578313253012,2,False,False,0.10843373493975904,3,False,False,0.1686746987951807,2,False,True,0.1566265060240964,2,False,False
4995,2,Тулуза — Лилль,2,False,0.49,1,True,0.4852313303599341,1,True,HURT_ACTUAL_PROBABILITY,RETAINED_CORRECT_TOP,-0.004768669640065892,NO_RANKING_OR_ALIGNMENT_MISS,NO_RANKING_OR_ALIGNMENT_MISS,0.7590361445783133,1,False,False,0.7289156626506024,1,False,False,0.7771084337349398,1,False,False,0.7771084337349398,1,False,False
4995,3,Локомотив Горна-Оряховица — Добруджа,1,False,0.36363636363636365,1,True,0.3730858847514701,1,True,HELPED_ACTUAL_PROBABILITY,RETAINED_CORRECT_TOP,0.00944952111510644,NO_RANKING_OR_ALIGNMENT_MISS,PACKAGE_ALIGNMENT_MISS,0.3674698795180723,1,False,False,0.3373493975903614,2,False,False,0.4879518072289157,1,False,False,0.42771084337349397,1,False,False
4995,4,Грэмио РС — Интернациональ РС,1,False,0.34,1,True,0.34896995710209333,1,True,HELPED_ACTUAL_PROBABILITY,RETAINED_CORRECT_TOP,0.008969957102093307,NO_RANKING_OR_ALIGNMENT_MISS,PACKAGE_ALIGNMENT_MISS,0.3373493975903614,1,False,False,0.3192771084337349,2,False,False,0.3614457831325301,2,False,True,0.3313253012048193,2,False,False
4995,5,ФК Копенгаген — Нордсьелланд,1,False,0.44,1,True,0.44177978088235587,1,True,HELPED_ACTUAL_PROBABILITY,RETAINED_CORRECT_TOP,0.0017797808823558636,NO_RANKING_OR_ALIGNMENT_MISS,NO_RANKING_OR_ALIGNMENT_MISS,0.7289156626506024,1,False,False,0.7048192771084337,1,False,False,0.7771084337349398,1,False,False,0.7710843373493976,1,False,False
4995,6,Новара — Ливорно,X,False,0.297029702970297,3,False,0.29488756245622005,3,False,HURT_ACTUAL_PROBABILITY,RETAINED_TOP_MISS,-0.0021421405140769623,JOINT_PROBABILITY_AND_PACKAGE_MISS,JOINT_PROBABILITY_AND_PACKAGE_MISS,0.3253012048192771,2,False,False,0.29518072289156627,3,False,False,0.15060240963855423,3,False,False,0.18072289156626506,3,False,False
4995,7,Хапоэль Тель-Авив — Бейтар Иерусалим,1,False,0.40404040404040403,1,True,0.4042632572949897,1,True,HELPED_ACTUAL_PROBABILITY,RETAINED_CORRECT_TOP,0.0002228532545856532,NO_RANKING_OR_ALIGNMENT_MISS,NO_RANKING_OR_ALIGNMENT_MISS,0.7349397590361446,1,False,False,0.7409638554216867,1,False,False,0.7289156626506024,1,False,True,0.7108433734939759,1,False,False
4995,8,Омония Никосия — ФК Пафос,2,False,0.35,2,False,0.35,2,False,FALLBACK,FALLBACK,0.0,PROBABILITY_RANKING_MISS,PROBABILITY_RANKING_MISS,0.35542168674698793,1,False,False,0.3855421686746988,1,False,False,0.3493975903614458,2,False,True,0.39759036144578314,1,False,False
4995,9,Ригас Футбола Скола — Рига ФК,2,False,0.31683168316831684,2,False,0.31683168316831684,2,False,FALLBACK,FALLBACK,0.0,JOINT_PROBABILITY_AND_PACKAGE_MISS,JOINT_PROBABILITY_AND_PACKAGE_MISS,0.3253012048192771,2,False,False,0.3192771084337349,2,False,False,0.21686746987951808,3,False,False,0.26506024096385544,3,False,False
4995,10,Ракув — Гурник Забрже,2,False,0.36,2,False,0.36240798949246383,2,False,HELPED_ACTUAL_PROBABILITY,RETAINED_TOP_MISS,0.0024079894924638467,JOINT_PROBABILITY_AND_PACKAGE_MISS,JOINT_PROBABILITY_AND_PACKAGE_MISS,0.16265060240963855,2,False,False,0.1927710843373494,2,False,True,0.43373493975903615,2,False,False,0.3493975903614458,2,False,False
