report_sha256,drawing_number,drawing_id,plan_id,position,event_order,event_name,league,league_status,league_missing_reason,actual_outcome,excluded_as_void,sports_covered,sports_fallback_reason,bk_probability_1,bk_probability_X,bk_probability_2,sports_probability_1,sports_probability_X,sports_probability_2,bk_top_correct,sports_top_correct,bk_actual_rank,bk_probability_margin,bk_normalized_entropy
94ab5d0641f23ba4a25f16830b4536cac4c4bdf8e916a83cc519ccf2e25a1189,4990,12077,5708c4b517c0f1e3,1,0,Тоттенхэм — Ньюкасл,Англия. Премьер-Лига,MAPPED_EXACT,,2,False,True,,0.4444444444444444,0.25252525252525254,0.30303030303030304,0.4529005671375447,0.2519584829366981,0.2951409499257573,False,False,2,0.14141414141414138,0.9737233944097116
94ab5d0641f23ba4a25f16830b4536cac4c4bdf8e916a83cc519ccf2e25a1189,4990,12077,5708c4b517c0f1e3,2,1,Блэкберн Роверс — Куинз Парк Рейнджерс,Англия. Чемпионшип,MAPPED_EXACT,,2,False,False,sports_history_missing,0.35,0.28,0.37,0.35,0.28,0.37,True,True,1,0.020000000000000018,0.9937459149150215
94ab5d0641f23ba4a25f16830b4536cac4c4bdf8e916a83cc519ccf2e25a1189,4990,12077,5708c4b517c0f1e3,3,2,Кардифф Сити — Шеффилд Юнайтед,Англия. Чемпионшип,MAPPED_EXACT,,X,False,True,,0.33,0.26,0.41,0.32374960836873196,0.2597965914206336,0.4164538002106345,False,False,3,0.07999999999999996,0.9845630297665168
94ab5d0641f23ba4a25f16830b4536cac4c4bdf8e916a83cc519ccf2e25a1189,4990,12077,5708c4b517c0f1e3,4,3,Норвич — Бернли,Англия. Чемпионшип,MAPPED_EXACT,,1,False,True,,0.45454545454545453,0.26262626262626265,0.2828282828282828,0.4613147736719198,0.2622908773903967,0.2763943489376835,True,True,1,0.1717171717171717,0.9709661294726363
94ab5d0641f23ba4a25f16830b4536cac4c4bdf8e916a83cc519ccf2e25a1189,4990,12077,5708c4b517c0f1e3,5,4,Болтон — Линкольн Сити,Англия. Чемпионшип,MAPPED_EXACT,,2,False,True,,0.38,0.29,0.33,0.38664921121747037,0.28351016396536677,0.32984062481716286,False,False,2,0.04999999999999999,0.994458345843335
94ab5d0641f23ba4a25f16830b4536cac4c4bdf8e916a83cc519ccf2e25a1189,4990,12077,5708c4b517c0f1e3,6,5,Унион Берлин — Айнтрахт Франкфурт,Германия. Бундеслига,MAPPED_EXACT,,X,False,True,,0.36,0.26,0.38,0.35564189460824697,0.2576634304222607,0.38669467496949234,False,False,3,0.020000000000000018,0.9882608621450383
94ab5d0641f23ba4a25f16830b4536cac4c4bdf8e916a83cc519ccf2e25a1189,4990,12077,5708c4b517c0f1e3,7,6,Кельн — Хоффенхайм,Германия. Бундеслига,MAPPED_EXACT,,1,False,True,,0.32,0.26,0.42,0.32422521864872494,0.255467520149861,0.42030726120141404,False,False,2,0.09999999999999998,0.9823377807251227
94ab5d0641f23ba4a25f16830b4536cac4c4bdf8e916a83cc519ccf2e25a1189,4990,12077,5708c4b517c0f1e3,8,7,Леванте — Бетис,Испания. Ла Лига,MAPPED_EXACT,,1,False,True,,0.29,0.28,0.43,0.29991647174482955,0.2722773703947623,0.4278061578604081,False,False,2,0.14,0.9815301483674603
94ab5d0641f23ba4a25f16830b4536cac4c4bdf8e916a83cc519ccf2e25a1189,4990,12077,5708c4b517c0f1e3,9,8,Монца — Удинезе,Италия. Серия A,MAPPED_EXACT,,2,False,True,,0.31,0.31,0.38,0.31644841234426857,0.306932808256995,0.3766187793987365,True,True,1,0.07,0.9956336642086434
94ab5d0641f23ba4a25f16830b4536cac4c4bdf8e916a83cc519ccf2e25a1189,4990,12077,5708c4b517c0f1e3,10,9,Сассуоло — Торино,Италия. Серия A,MAPPED_EXACT,,1,False,True,,0.42,0.29,0.29,0.416618884052628,0.2867587423153393,0.2966223736320327,True,True,1,0.13,0.9851677212067753
94ab5d0641f23ba4a25f16830b4536cac4c4bdf8e916a83cc519ccf2e25a1189,4990,12077,5708c4b517c0f1e3,11,10,Локомотив Москва — Динамо Москва,Россия. Премьер Лига,MAPPED_EXACT,,2,False,True,,0.28,0.25,0.47,0.2849376465227733,0.24953245803258953,0.46552989544463713,True,True,1,0.18999999999999995,0.962909850026115
94ab5d0641f23ba4a25f16830b4536cac4c4bdf8e916a83cc519ccf2e25a1189,4990,12077,5708c4b517c0f1e3,12,11,Арсенал Тула — Урал,Россия. 1-я лига,MAPPED_EXACT,,X,False,True,,0.29292929292929293,0.29292929292929293,0.41414141414141414,0.2984571096640588,0.2920580259974186,0.40948486433852266,False,False,2,0.12121212121212122,0.9870786090558895
94ab5d0641f23ba4a25f16830b4536cac4c4bdf8e916a83cc519ccf2e25a1189,4990,12077,5708c4b517c0f1e3,13,12,Текстильщик — Велес,Россия. 1-я лига,MAPPED_EXACT,,2,False,True,,0.3,0.31,0.39,0.3053534334201739,0.310223245875456,0.3844233207043701,True,True,1,0.08000000000000002,0.9935132779478901
94ab5d0641f23ba4a25f16830b4536cac4c4bdf8e916a83cc519ccf2e25a1189,4990,12077,5708c4b517c0f1e3,14,13,Страсбур — Ланс,Франция. Лига 1,MAPPED_EXACT,,1,False,True,,0.25,0.26,0.49,0.24850660891520568,0.2581068066732893,0.493386584411505,False,False,3,0.22999999999999998,0.9524326230501068
94ab5d0641f23ba4a25f16830b4536cac4c4bdf8e916a83cc519ccf2e25a1189,4990,12077,5708c4b517c0f1e3,15,14,Брест — Тулуза,Франция. Лига 1,MAPPED_EXACT,,X,False,True,,0.36,0.28,0.36,0.35677389604122833,0.28239664974700174,0.3608294542117699,False,False,3,0.0,0.9939987916706561
94ab5d0641f23ba4a25f16830b4536cac4c4bdf8e916a83cc519ccf2e25a1189,4991,12081,a4cd1d2529e9a211,1,0,Лидс — Брентфорд,Англия. Премьер-Лига,MAPPED_EXACT,,X,False,False,sports_history_missing,0.34,0.28,0.38,0.34,0.28,0.38,False,False,3,0.03999999999999998,0.9929868938532104
94ab5d0641f23ba4a25f16830b4536cac4c4bdf8e916a83cc519ccf2e25a1189,4991,12081,a4cd1d2529e9a211,2,1,Сандерленд — Фулхэм,Англия. Премьер-Лига,MAPPED_EXACT,,1,False,False,sports_history_missing,0.43,0.29,0.28,0.43,0.29,0.28,True,True,1,0.14,0.9815301483674603
